backtest_id,forecast_stage,forecast_date,target_period,actual_release_date,days_to_release
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2015-01-15,2015Q1,2015-04-29,104
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2015-02-15,2015Q1,2015-04-29,73
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2015-03-15,2015Q1,2015-04-29,45
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2015-03-31,2015Q1,2015-04-29,29
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2015-04-28,2015Q1,2015-04-29,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2015-04-15,2015Q2,2015-07-30,106
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2015-05-15,2015Q2,2015-07-30,76
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2015-06-15,2015Q2,2015-07-30,45
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2015-06-30,2015Q2,2015-07-30,30
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2015-07-29,2015Q2,2015-07-30,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2015-07-15,2015Q3,2015-10-29,106
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2015-08-15,2015Q3,2015-10-29,75
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2015-09-15,2015Q3,2015-10-29,44
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2015-09-30,2015Q3,2015-10-29,29
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2015-10-28,2015Q3,2015-10-29,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2015-10-15,2015Q4,2016-01-29,106
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2015-11-15,2015Q4,2016-01-29,75
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2015-12-15,2015Q4,2016-01-29,45
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2015-12-31,2015Q4,2016-01-29,29
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2016-01-28,2015Q4,2016-01-29,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2016-01-15,2016Q1,2016-04-28,104
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2016-02-15,2016Q1,2016-04-28,73
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2016-03-15,2016Q1,2016-04-28,44
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2016-03-31,2016Q1,2016-04-28,28
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2016-04-27,2016Q1,2016-04-28,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2016-04-15,2016Q2,2016-07-29,105
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2016-05-15,2016Q2,2016-07-29,75
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2016-06-15,2016Q2,2016-07-29,44
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2016-06-30,2016Q2,2016-07-29,29
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2016-07-28,2016Q2,2016-07-29,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2016-07-15,2016Q3,2016-10-28,105
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2016-08-15,2016Q3,2016-10-28,74
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2016-09-15,2016Q3,2016-10-28,43
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2016-09-30,2016Q3,2016-10-28,28
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2016-10-27,2016Q3,2016-10-28,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2016-10-15,2016Q4,2017-01-27,104
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2016-11-15,2016Q4,2017-01-27,73
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2016-12-15,2016Q4,2017-01-27,43
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2016-12-31,2016Q4,2017-01-27,27
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2017-01-26,2016Q4,2017-01-27,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2017-01-15,2017Q1,2017-04-28,103
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2017-02-15,2017Q1,2017-04-28,72
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2017-03-15,2017Q1,2017-04-28,44
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2017-03-31,2017Q1,2017-04-28,28
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2017-04-27,2017Q1,2017-04-28,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2017-04-15,2017Q2,2017-07-28,104
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2017-05-15,2017Q2,2017-07-28,74
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2017-06-15,2017Q2,2017-07-28,43
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2017-06-30,2017Q2,2017-07-28,28
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2017-07-27,2017Q2,2017-07-28,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2017-07-15,2017Q3,2017-10-27,104
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2017-08-15,2017Q3,2017-10-27,73
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2017-09-15,2017Q3,2017-10-27,42
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2017-09-30,2017Q3,2017-10-27,27
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2017-10-26,2017Q3,2017-10-27,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2017-10-15,2017Q4,2018-01-26,103
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2017-11-15,2017Q4,2018-01-26,72
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2017-12-15,2017Q4,2018-01-26,42
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2017-12-31,2017Q4,2018-01-26,26
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2018-01-25,2017Q4,2018-01-26,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2018-01-15,2018Q1,2018-04-27,102
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2018-02-15,2018Q1,2018-04-27,71
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2018-03-15,2018Q1,2018-04-27,43
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2018-03-31,2018Q1,2018-04-27,27
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2018-04-26,2018Q1,2018-04-27,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2018-04-15,2018Q2,2018-07-27,103
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2018-05-15,2018Q2,2018-07-27,73
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2018-06-15,2018Q2,2018-07-27,42
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2018-06-30,2018Q2,2018-07-27,27
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2018-07-26,2018Q2,2018-07-27,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2018-07-15,2018Q3,2018-10-26,103
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2018-08-15,2018Q3,2018-10-26,72
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2018-09-15,2018Q3,2018-10-26,41
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2018-09-30,2018Q3,2018-10-26,26
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2018-10-25,2018Q3,2018-10-26,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2018-10-15,2018Q4,2019-02-28,136
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2018-11-15,2018Q4,2019-02-28,105
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2018-12-15,2018Q4,2019-02-28,75
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2018-12-31,2018Q4,2019-02-28,59
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2019-02-27,2018Q4,2019-02-28,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2019-01-15,2019Q1,2019-04-26,101
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2019-02-15,2019Q1,2019-04-26,70
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2019-03-15,2019Q1,2019-04-26,42
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2019-03-31,2019Q1,2019-04-26,26
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2019-04-25,2019Q1,2019-04-26,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2019-04-15,2019Q2,2019-07-26,102
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2019-05-15,2019Q2,2019-07-26,72
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2019-06-15,2019Q2,2019-07-26,41
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2019-06-30,2019Q2,2019-07-26,26
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2019-07-25,2019Q2,2019-07-26,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2019-07-15,2019Q3,2019-10-30,107
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2019-08-15,2019Q3,2019-10-30,76
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2019-09-15,2019Q3,2019-10-30,45
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2019-09-30,2019Q3,2019-10-30,30
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2019-10-29,2019Q3,2019-10-30,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2019-10-15,2019Q4,2020-01-30,107
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2019-11-15,2019Q4,2020-01-30,76
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2019-12-15,2019Q4,2020-01-30,46
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2019-12-31,2019Q4,2020-01-30,30
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2020-01-29,2019Q4,2020-01-30,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2020-01-15,2020Q1,2020-04-29,105
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2020-02-15,2020Q1,2020-04-29,74
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2020-03-15,2020Q1,2020-04-29,45
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2020-03-31,2020Q1,2020-04-29,29
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2020-04-28,2020Q1,2020-04-29,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2020-04-15,2020Q2,2020-07-30,106
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2020-05-15,2020Q2,2020-07-30,76
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2020-06-15,2020Q2,2020-07-30,45
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2020-06-30,2020Q2,2020-07-30,30
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2020-07-29,2020Q2,2020-07-30,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2020-07-15,2020Q3,2020-10-29,106
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2020-08-15,2020Q3,2020-10-29,75
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2020-09-15,2020Q3,2020-10-29,44
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2020-09-30,2020Q3,2020-10-29,29
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2020-10-28,2020Q3,2020-10-29,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2020-10-15,2020Q4,2021-01-28,105
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2020-11-15,2020Q4,2021-01-28,74
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2020-12-15,2020Q4,2021-01-28,44
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2020-12-31,2020Q4,2021-01-28,28
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2021-01-27,2020Q4,2021-01-28,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2021-01-15,2021Q1,2021-04-29,104
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2021-02-15,2021Q1,2021-04-29,73
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2021-03-15,2021Q1,2021-04-29,45
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2021-03-31,2021Q1,2021-04-29,29
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2021-04-28,2021Q1,2021-04-29,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2021-04-15,2021Q2,2021-07-29,105
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2021-05-15,2021Q2,2021-07-29,75
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2021-06-15,2021Q2,2021-07-29,44
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2021-06-30,2021Q2,2021-07-29,29
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2021-07-28,2021Q2,2021-07-29,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2021-07-15,2021Q3,2021-10-28,105
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2021-08-15,2021Q3,2021-10-28,74
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2021-09-15,2021Q3,2021-10-28,43
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2021-09-30,2021Q3,2021-10-28,28
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,pre_advance_release,2021-10-27,2021Q3,2021-10-28,1
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,early_quarter,2021-10-15,2021Q4,2022-01-27,104
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_1,2021-11-15,2021Q4,2022-01-27,73
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,after_month_2,2021-12-15,2021Q4,2022-01-27,43
382b4c6b-ef76-4ca1-b52f-d5e3e1ac66b1,quarter_end,2021-12-31,2021Q4,2022-01-27,27
