backtest_id,target_series,forecast_stage,forecast_date,target_period,actual_release_date,days_to_release
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,after_week_2,2017-05-14,2017-05,2017-06-02,19
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,month_end,2017-05-31,2017-05,2017-06-02,2
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,pre_employment_report,2017-06-01,2017-05,2017-06-02,1
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,month_open,2017-06-01,2017-06,2017-07-07,36
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,after_week_1,2017-06-07,2017-06,2017-07-07,30
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,after_week_2,2017-06-14,2017-06,2017-07-07,23
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,month_end,2017-06-30,2017-06,2017-07-07,7
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,pre_employment_report,2017-07-06,2017-06,2017-07-07,1
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,month_open,2017-07-01,2017-07,2017-08-04,34
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,after_week_1,2017-07-07,2017-07,2017-08-04,28
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,after_week_2,2017-07-14,2017-07,2017-08-04,21
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,month_end,2017-07-31,2017-07,2017-08-04,4
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,pre_employment_report,2017-08-03,2017-07,2017-08-04,1
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,month_open,2017-08-01,2017-08,2017-09-01,31
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,after_week_1,2017-08-07,2017-08,2017-09-01,25
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,after_week_2,2017-08-14,2017-08,2017-09-01,18
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,month_end,2017-08-31,2017-08,2017-09-01,1
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,pre_employment_report,2017-08-31,2017-08,2017-09-01,1
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,month_open,2017-09-01,2017-09,2017-10-06,35
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,after_week_1,2017-09-07,2017-09,2017-10-06,29
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,after_week_2,2017-09-14,2017-09,2017-10-06,22
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,month_end,2017-09-30,2017-09,2017-10-06,6
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,pre_employment_report,2017-10-05,2017-09,2017-10-06,1
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,month_open,2017-10-01,2017-10,2017-11-03,33
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,after_week_1,2017-10-07,2017-10,2017-11-03,27
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,after_week_2,2017-10-14,2017-10,2017-11-03,20
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,month_end,2017-10-31,2017-10,2017-11-03,3
834e0655-ba81-4b96-b42c-e1cdda73b847,CES0500000003,pre_employment_report,2017-11-02,2017-10,2017-11-03,1
