domain_name,target_series,forecast_stage,candidate_count,candidate_rows_before_common_filter,candidate_origins_before_common_filter,common_origins,common_rows,actual_consistent,first_target_period,last_target_period,first_forecast_date,last_forecast_date,common_key_sha256
GDP,GDPC1,after_month_1,5,160,32,32,160,1,2015Q1,2022Q4,2015-02-15,2022-11-15,a1e56cd8b648f1cce9142fd59e341dc4a593c072ed09aef0545a0533a0059620
GDP,GDPC1,after_month_2,5,160,32,32,160,1,2015Q1,2022Q4,2015-03-15,2022-12-15,62cc339c44b456f29c090619d7ac00edc2dd258ae3668391c2a8d0a17f32c481
GDP,GDPC1,early_quarter,5,160,32,32,160,1,2015Q1,2022Q4,2015-01-15,2022-10-15,95239e91ee26ac79e2a3c8fecf477401a8370970cafefd3186b145ee75515011
GDP,GDPC1,pre_advance_release,5,160,32,32,160,1,2015Q1,2022Q4,2015-04-28,2023-01-25,cecba87acfe38f77bee679f3b9374683c6aa8de65bb11879bd455573a79afc27
GDP,GDPC1,quarter_end,5,160,32,32,160,1,2015Q1,2022Q4,2015-03-31,2022-12-31,eb9eb6ac1453007ba3fb69511e4c7c9d3ea01fa4cba0d00d51b8fe2bbb8f9295
Inflation,CPIAUCSL,mid_month,4,140,35,35,140,1,2020-02,2022-12,2020-02-15,2022-12-15,15f3ae1d111bdae73e18aaec8e2afe2ec65927e6a515e0e6afc2dedb6642fcf7
Inflation,CPIAUCSL,month_end,4,140,35,35,140,1,2020-02,2022-12,2020-02-29,2022-12-31,344a661b9e62d263a3df10c8b11a88387974b0094692408a10396c1eca1cdffa
Inflation,CPIAUCSL,month_open,4,136,34,34,136,1,2020-03,2022-12,2020-03-01,2022-12-01,d52ea52f884765c557001c8611f50dcc365727376c2852e28a55aec26306f26e
Inflation,CPIAUCSL,pre_release,4,140,35,35,140,1,2020-02,2022-12,2020-03-10,2023-01-11,217ea6fbd88ff653648e40a247ea12475207f0863cbbbabc7b9eb8cdae8c41c9
Inflation,CPILFESL,mid_month,4,140,35,35,140,1,2020-02,2022-12,2020-02-15,2022-12-15,67857c5103298234b718a0cd0239ac6b869660e9e02c2337f8182c69497041c6
Inflation,CPILFESL,month_end,4,140,35,35,140,1,2020-02,2022-12,2020-02-29,2022-12-31,112aae86a734dc10224dec2b6507d7db8bab2b6ecc14a9c30a83985ea89c2422
Inflation,CPILFESL,month_open,4,136,34,34,136,1,2020-03,2022-12,2020-03-01,2022-12-01,329ebf87d99cc528c038483952ca86e8cfd4539fb6c0e864543775737c96810b
Inflation,CPILFESL,pre_release,4,140,35,35,140,1,2020-02,2022-12,2020-03-10,2023-01-11,d6d17d35ff94aea55b86c6a8d7e779ff42b30a15357a7827ae37451195fcd19d
Inflation,PCEPI,mid_month,4,136,34,34,136,1,2020-03,2022-12,2020-03-15,2022-12-15,774adba9abc8b2cc8da05d569c057913bdab9cd07ba532ae9b7126883e24bd11
Inflation,PCEPI,month_end,4,140,35,35,140,1,2020-02,2022-12,2020-02-29,2022-12-31,a1e96046d180c9f5d4fb142d219e9ecca08de3e00b5ab486d49d71c9fcbea473
Inflation,PCEPI,month_open,4,136,34,34,136,1,2020-03,2022-12,2020-03-01,2022-12-01,9e9c9058414b05e4748ee9011f2df31a2d33f19942523d75d3b9750ad63570c7
Inflation,PCEPI,pre_release,4,140,35,35,140,1,2020-02,2022-12,2020-03-26,2023-01-26,123a5d475e58065958bce63d31b8480344a0bc591bb422d1a349b563ea2ac25c
Inflation,PCEPILFE,mid_month,4,136,34,34,136,1,2020-03,2022-12,2020-03-15,2022-12-15,9937aa818b29d241dd4ed8fdb977fe8b05963cb88eb2fcf6f7170bcdb9c845e6
Inflation,PCEPILFE,month_end,4,140,35,35,140,1,2020-02,2022-12,2020-02-29,2022-12-31,27d545870468a9b802a2c4b491145bc7131227e531161691b90f0b507c56cad2
Inflation,PCEPILFE,month_open,4,136,34,34,136,1,2020-03,2022-12,2020-03-01,2022-12-01,cf5ea735b5c798ab07b57998eace12fa63b67620025f928bf7f18db41c105241
Inflation,PCEPILFE,pre_release,4,140,35,35,140,1,2020-02,2022-12,2020-03-26,2023-01-26,7e9c935a2417b353880960000fb315edc723475a9911d011517adbc99211c3d0
Labour,CES0500000003,after_week_1,5,335,67,67,335,1,2017-06,2022-12,2017-06-07,2022-12-07,8c740506fbc0a7e4c55ba9f029cb0c0a864b6ff395a1995a3dade2b4a6247726
