domain_name,target_series,stage_order,forecast_stage,selected_model,development_n,development_mse,development_rmse,development_mae,selection_rule,tie_tolerance
GDP,GDPC1,1,early_quarter,Dynamic Factor Model,32,53.047562927662234,7.2833757920117117,3.1010859507123389,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
GDP,GDPC1,2,after_month_1,Dynamic Factor Model,32,28.150204594433859,5.3056766386987686,2.7240415158702365,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
GDP,GDPC1,3,after_month_2,Bridge–DFM Ensemble,32,9.7734507649777065,3.1262518716472139,2.1364870333511647,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
GDP,GDPC1,4,quarter_end,Rolling Bridge–DFM Ensemble,32,9.0534791305279789,3.0088999867938413,2.0218055302926135,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
GDP,GDPC1,5,pre_advance_release,Dynamic Factor Model,32,10.622029191963565,3.2591454695922311,2.1567175858114633,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Inflation,CPIAUCSL,1,month_open,Inflation Ridge-AR Ensemble,34,24.368702182945903,4.9364665686040965,3.9535533429315204,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Inflation,CPIAUCSL,2,mid_month,Inflation Bridge Ridge,35,18.558266730825004,4.3079306785073737,3.1990729182113733,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Inflation,CPIAUCSL,3,month_end,Inflation Bridge Ridge,35,18.553048553013458,4.3073249880887161,3.1951768422633631,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Inflation,CPIAUCSL,4,pre_release,Inflation Bridge Ridge,35,18.497775676317808,4.3009040533727099,3.1848324510932651,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Inflation,CPILFESL,1,month_open,Inflation 12-Month Mean,34,12.787241958928199,3.575925329048161,2.7326479268621902,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Inflation,CPILFESL,2,mid_month,Inflation Ridge-AR Ensemble,35,8.1712285027562732,2.8585360768680661,2.1692942809540092,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Inflation,CPILFESL,3,month_end,Inflation Ridge-AR Ensemble,35,8.1708702381906537,2.8584734104396796,2.1685009141009273,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Inflation,CPILFESL,4,pre_release,Inflation Ridge-AR Ensemble,35,8.1894518761808008,2.8617218376671065,2.1654278777783316,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Inflation,PCEPI,1,month_open,Inflation Ridge-AR Ensemble,34,9.5723604643031095,3.0939231510015097,2.5689273907462571,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Inflation,PCEPI,2,mid_month,Inflation Bridge Ridge,34,7.9744299962891834,2.8239033263001732,2.1532156638896023,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Inflation,PCEPI,3,month_end,Inflation Bridge Ridge,35,8.3062105852771548,2.8820497194318411,2.1145266351914374,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Inflation,PCEPI,4,pre_release,Inflation Bridge Ridge,35,8.3453737017958556,2.8888360461950513,2.1152537353477978,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Inflation,PCEPILFE,1,month_open,Inflation Bridge Ridge,34,5.1055557228670549,2.2595476810342054,1.8304005384490081,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Inflation,PCEPILFE,2,mid_month,Inflation Ridge-AR Ensemble,34,5.313339843730887,2.3050682948083963,1.8659742250783269,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Inflation,PCEPILFE,3,month_end,Inflation Bridge Ridge,35,4.8715992203139455,2.2071699572787651,1.6747034023856031,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Inflation,PCEPILFE,4,pre_release,Inflation Bridge Ridge,35,4.8238085905872543,2.1963170514721355,1.6591471061398477,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Labour,CES0500000003,1,month_open,Labour Bridge Ridge,67,28.30118959738984,5.319886239139878,2.666318703080123,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Labour,CES0500000003,2,after_week_1,Labour Bridge Ridge,67,20.102174906821158,4.4835449040710138,2.4991646825469189,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Labour,CES0500000003,3,after_week_2,Labour Bridge Ridge,68,40.282695523216667,6.3468650153612582,2.8840089599041003,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Labour,CES0500000003,4,month_end,Labour Equal-Weight Ensemble,68,47.543115216935732,6.8951515731661575,2.68054134912932,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Labour,CES0500000003,5,pre_employment_report,Labour Equal-Weight Ensemble,68,48.038273859844004,6.9309648577845211,2.7043143646944845,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Labour,PAYEMS,1,month_open,Labour 12-Month Mean,77,6417332.8860930735,2533.245524242187,701.36688311688317,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Labour,PAYEMS,2,after_week_1,Labour Bridge Ridge,77,5330826.2770623909,2308.8582193505063,708.63201116324126,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Labour,PAYEMS,3,after_week_2,Labour Factor Ridge,78,5982587.6474074665,2445.9328787616937,644.27720599540328,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Labour,PAYEMS,4,month_end,Labour Bridge Ridge,78,5948530.0993433129,2438.9608646600527,702.82117516435005,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Labour,PAYEMS,5,pre_employment_report,Labour Bridge Ridge,78,5921537.542725361,2433.4209546901993,706.33741211393465,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Labour,UNRATE,1,month_open,Labour AR(1),77,4.3733723215151512,2.0912609405607783,0.8352959697775757,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Labour,UNRATE,2,after_week_1,Labour Equal-Weight Ensemble,77,3.0086838441126726,1.7345558059954924,0.52455791028144294,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Labour,UNRATE,3,after_week_2,Labour Equal-Weight Ensemble,78,1.9214607019440826,1.3861676312567981,0.40461292289344086,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Labour,UNRATE,4,month_end,Labour Equal-Weight Ensemble,78,1.7343285802472417,1.3169390951168705,0.38782627973916906,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
Labour,UNRATE,5,pre_employment_report,Labour Equal-Weight Ensemble,78,1.7161794986916465,1.3100303426606754,0.38353651344823786,min_MSE_then_MAE_then_model_name,9.9999999999999998e-13
