domain_name,target_series,transition_order,earlier_stage,later_stage,fixed_model,eligible_pairs,excluded_same_hash_pairs,mean_delta_squared_error,median_delta_squared_error,squared_error_improvement_share,hac_bandwidth_squared_error,hac_se_mean_delta_squared_error,hac_z_mean_delta_squared_error,hac_p_value_squared_error_two_sided,mean_delta_abs_error,median_delta_abs_error,abs_error_improvement_share,hac_bandwidth_abs_error,hac_se_mean_delta_abs_error,hac_z_mean_delta_abs_error,hac_p_value_abs_error_two_sided
GDP,GDPC1,1,early_quarter,after_month_1,Dynamic Factor Model,12,0,0.28481210211484792,0.18945630645895162,0.33333333333333331,2,0.16896653048248236,1.685612537001083,0.091870452875844499,0.12964880383284955,0.15793338336316221,0.33333333333333331,2,0.058457323372388556,2.21783681416531,0.026565961004634486
GDP,GDPC1,2,after_month_1,after_month_2,Dynamic Factor Model,12,0,0.062838162336303419,-0.045819007279621252,0.66666666666666663,2,0.13466138897070384,0.46663830528269784,0.64075867640326511,-0.039523687929161701,-0.059841902912380118,0.66666666666666663,2,0.043180531933973955,-0.91531266890357388,0.36002751012113166
GDP,GDPC1,3,after_month_2,quarter_end,Dynamic Factor Model,12,0,0.053945535003365595,0.010465987968696563,0.41666666666666669,2,0.02957330645344005,1.8241293068902176,0.068132525835793212,0.041265990495998495,0.01975554723482853,0.41666666666666669,2,0.017222280265369396,2.3960816953476392,0.016571396355890888
GDP,GDPC1,4,quarter_end,pre_advance_release,Dynamic Factor Model,12,0,-0.080737630495318916,-0.0065866130548190328,0.58333333333333337,2,0.045649217531971251,-1.7686531086490773,0.076951782067466112,-0.028326689587944227,-0.015021162174735148,0.58333333333333337,2,0.015674906846532555,-1.8071360720214023,0.070741065536511494
Inflation,CPIAUCSL,1,month_open,mid_month,Inflation Bridge Ridge,39,0,-1.7822927497831085,-0.16246666743823959,0.58974358974358976,3,1.7439102797103718,-1.0220094293377933,0.30677643755902295,-0.1147457061830298,-0.05804947237186564,0.58974358974358976,3,0.14432498145429998,-0.79505089851242172,0.42658389518734507
Inflation,CPIAUCSL,2,mid_month,month_end,Inflation Bridge Ridge,40,0,-0.0047872315163182645,0,0.10000000000000001,3,0.12006457282944563,-0.039872140494920445,0.96819506209872142,-0.016967908475822368,0,0.10000000000000001,3,0.030138374836568109,-0.5630001142342459,0.57343480615335451
Inflation,CPIAUCSL,3,month_end,pre_release,Inflation Bridge Ridge,40,0,0.053200548390757205,0.0023756139421713274,0.375,3,0.068236417959487483,0.77965036825852729,0.43559669999170292,0.035633292062741455,0.0053813361586307895,0.375,3,0.017308692887921022,2.0586934145448019,0.039523617492354557
Inflation,CPILFESL,1,month_open,mid_month,Inflation Ridge-AR Ensemble,39,0,-0.63570171431411238,-0.12235757722681816,0.58974358974358976,3,0.25778050755559512,-2.4660581218578428,0.013660916543880575,-0.16555189131094425,-0.090716969044511764,0.58974358974358976,3,0.1101432628702783,-1.503059624317864,0.13282366930017631
Inflation,CPILFESL,2,mid_month,month_end,Inflation Ridge-AR Ensemble,40,0,-0.0098155659070090478,0,0.125,3,0.014896055879168039,-0.65893723725459452,0.5099360726510036,-0.002354372295878304,0,0.125,3,0.0097576640401364958,-0.24128441870861642,0.80933468626907579
Inflation,CPILFESL,3,month_end,pre_release,Inflation Ridge-AR Ensemble,40,0,0.017520310528607492,0,0.47499999999999998,3,0.012685561295162911,1.3811222161125896,0.16724138581981229,0.0097504569338041584,0,0.47499999999999998,3,0.0056409192591168385,1.7285226903479423,0.083894556599101611
Inflation,PCEPI,1,month_open,mid_month,Inflation Bridge Ridge,38,0,-0.13850736162602373,-0.057253987131103717,0.57894736842105265,3,0.34428229381815978,-0.40230753690510562,0.68745770854086796,-0.0091704319125282922,-0.034314137514327436,0.57894736842105265,3,0.090992973340659256,-0.10078175902875548,0.91972370729221109
Inflation,PCEPI,2,mid_month,month_end,Inflation Bridge Ridge,39,0,-0.21957079586974176,-0.063473357345290735,0.66666666666666663,3,0.11063506097411055,-1.9846402572248143,0.047184510036863969,-0.097878732763305124,-0.046148503334387581,0.66666666666666663,3,0.045811288348006983,-2.1365636351408863,0.03263350001458698
Inflation,PCEPI,3,month_end,pre_release,Inflation Bridge Ridge,40,0,0.20165336388926977,0.070026982040461455,0.375,3,0.086311394487546114,2.336346957276497,0.019473166041937606,0.065754538077053407,0.069327351644253299,0.375,3,0.030057728643224625,2.1876083471754701,0.028698143297253731
Inflation,PCEPILFE,1,month_open,mid_month,Inflation Bridge Ridge,38,0,-0.096921102951980712,-0.0048850620454662123,0.55263157894736847,3,0.08191588849727692,-1.1831783153423601,0.23673848511217099,-0.034572016648712803,-0.0080034213169866142,0.55263157894736847,3,0.037267759607788012,-0.92766554825281566,0.35358108468557159
Inflation,PCEPILFE,2,mid_month,month_end,Inflation Bridge Ridge,39,0,-0.23202315850132907,0.0030601455208862233,0.48717948717948717,3,0.092492215603096631,-2.5085695805686914,0.012122109140131787,-0.068129053815591423,0.0088375992179678953,0.48717948717948717,3,0.036385578971306815,-1.8724191215788291,0.061148641641265877
Inflation,PCEPILFE,3,month_end,pre_release,Inflation Bridge Ridge,40,0,0.027128814234872088,0.028502191670519896,0.32500000000000001,3,0.027831668719997898,0.97474623271076855,0.32968615361197307,0.020307203987629779,0.021443417524394492,0.32500000000000001,3,0.015604583036579045,1.3013615256509716,0.1931347365813223
Labour,CES0500000003,1,month_open,after_week_1,Labour Bridge Ridge,41,0,-0.030787519839260889,-0.029421302405328528,0.58536585365853655,3,0.23397954130537085,-0.13158210186881061,0.8953148430589144,-0.026126114344864858,-0.022867505280331102,0.58536585365853655,3,0.067790536024134013,-0.38539471550370596,0.6999449972042866
Labour,CES0500000003,2,after_week_1,after_week_2,Labour Bridge Ridge,41,0,0.1934093517822458,0.012933751970030549,0.31707317073170732,3,0.082194402356225132,2.3530720613311646,0.018619025428537661,0.097439808085602944,0.012334548013148705,0.31707317073170732,3,0.034419663273338209,2.8309343793342894,0.0046412242014874927
Labour,CES0500000003,3,after_week_2,month_end,Labour Bridge Ridge,41,0,-0.12099900532298946,-0.019072118747859135,0.51219512195121952,3,0.086747546641551126,-1.3948406612923421,0.16306389423944467,-0.041190495382175278,-0.016046812987930537,0.51219512195121952,3,0.02202905449046634,-1.869825842956699,0.061508006397871018
Labour,CES0500000003,4,month_end,pre_employment_report,Labour Bridge Ridge,38,3,0.039565860355267934,0.034734900540909996,0.42105263157894735,3,0.11735529467804504,0.33714593332847692,0.73600689250715812,-0.0026014148887984097,0.011463013625067298,0.42105263157894735,3,0.048765555351759089,-0.053345335043017625,0.95745675946018394
Labour,PAYEMS,1,month_open,after_week_1,Labour Bridge Ridge,41,0,9835.2158146694073,2183.1650020828188,0.36585365853658536,3,5604.552454933525,1.754861943706451,0.079282925042138741,31.515190081132577,9.5846511979599711,0.36585365853658536,3,15.145669143413009,2.0808053960982518,0.037451722056158987
Labour,PAYEMS,2,after_week_1,after_week_2,Labour Bridge Ridge,41,0,2316.7619185795552,94.613202833260402,0.3902439024390244,3,3678.9563183310988,0.62973346735209901,0.52886898210809985,4.6301096368760959,0.746725336754821,0.3902439024390244,3,7.3961356816860739,0.62601740099778491,0.53130352787449642
Labour,PAYEMS,3,after_week_2,month_end,Labour Bridge Ridge,41,0,-5297.861116244806,-2096.3787017961658,0.63414634146341464,3,2730.3125126995415,-1.9403863446410581,0.05233275487858724,-14.294520055375241,-14.557066792981942,0.63414634146341464,3,6.7008525229452882,-2.1332390179350251,0.032905123882098986
Labour,PAYEMS,4,month_end,pre_employment_report,Labour Bridge Ridge,38,3,-1637.8107034001162,223.47217358984093,0.39473684210526316,3,3112.1632723452713,-0.52626117593306443,0.59870675405850315,2.6583007193863124,1.7901812192086339,0.39473684210526316,3,8.130301110029226,0.3269621485614026,0.74369651418870575
Labour,UNRATE,1,month_open,after_week_1,Labour Equal-Weight Ensemble,40,0,-0.0055343651777134571,-0.0014753388403759768,0.5,3,0.0067526473390973054,-0.81958451253183484,0.41245300558797915,-0.0065922185285826936,-0.0023128624810078158,0.5,3,0.01034581359443491,-0.6371870581670539,0.52400300658573506
Labour,UNRATE,2,after_week_1,after_week_2,Labour Equal-Weight Ensemble,40,0,0.0022854349401407468,0.0015420803123807336,0.375,3,0.0014413949367831631,1.5855716443969701,0.11283651279656448,0.0038074797867212462,0.0032420808703643722,0.375,3,0.0035390787662059275,1.0758392333841889,0.28199916248355628
Labour,UNRATE,3,after_week_2,month_end,Labour Equal-Weight Ensemble,40,0,-0.0019986880733619721,0.00051825603108370758,0.47499999999999998,3,0.0015988694147603202,-1.2500633603411488,0.21127640283354365,-0.00031908912518792133,0.00066132903015714284,0.47499999999999998,3,0.0024121919803243431,-0.13228181164295913,0.8947613931510181
