domain_name,target_series,stage_order,forecast_stage,stage_policy_model,fixed_model,n,same_model,mean_delta_squared_error,median_delta_squared_error,squared_error_policy_win_share,hac_bandwidth_squared_error,hac_se_mean_delta_squared_error,hac_z_mean_delta_squared_error,hac_p_value_squared_error_two_sided,mean_delta_abs_error,median_delta_abs_error,abs_error_policy_win_share,hac_bandwidth_abs_error,hac_se_mean_delta_abs_error,hac_z_mean_delta_abs_error,hac_p_value_abs_error_two_sided
GDP,GDPC1,1,early_quarter,Dynamic Factor Model,Dynamic Factor Model,12,1,0,0,0,2,0,,,0,0,0,2,0,,
GDP,GDPC1,2,after_month_1,Dynamic Factor Model,Dynamic Factor Model,12,1,0,0,0,2,0,,,0,0,0,2,0,,
GDP,GDPC1,3,after_month_2,Bridge–DFM Ensemble,Dynamic Factor Model,12,0,0.13946889983209707,0.0029098859673068744,0.33333333333333331,2,0.31351391197653489,0.44485713234485008,0.65642300344512639,0.06656758773709158,0.011215010056837116,0.33333333333333331,2,0.10136286183669387,0.65672561459776957,0.51135736124296338
GDP,GDPC1,4,quarter_end,Rolling Bridge–DFM Ensemble,Dynamic Factor Model,12,0,0.40231876203652889,0.11832740167046149,0.33333333333333331,2,0.25690308866689882,1.5660331844362385,0.11734084858887917,0.11939331546328104,0.10406100778507099,0.33333333333333331,2,0.062964299380787223,1.896206527150089,0.057932740429732954
GDP,GDPC1,5,pre_advance_release,Dynamic Factor Model,Dynamic Factor Model,12,1,0,0,0,2,0,,,0,0,0,2,0,,
Inflation,CPIAUCSL,1,month_open,Inflation Ridge-AR Ensemble,Inflation Bridge Ridge,39,0,-1.0877862389133359,-0.052223183232277037,0.5641025641025641,3,1.1499068131476753,-0.94597773182655143,0.34415994419643781,-0.19090605646466202,-0.048286092675911441,0.5641025641025641,3,0.16746815636541387,-1.1399543686867064,0.25430531233612275
Inflation,CPIAUCSL,2,mid_month,Inflation Bridge Ridge,Inflation Bridge Ridge,40,1,0,0,0,3,0,,,0,0,0,3,0,,
Inflation,CPIAUCSL,3,month_end,Inflation Bridge Ridge,Inflation Bridge Ridge,40,1,0,0,0,3,0,,,0,0,0,3,0,,
Inflation,CPIAUCSL,4,pre_release,Inflation Bridge Ridge,Inflation Bridge Ridge,40,1,0,0,0,3,0,,,0,0,0,3,0,,
Inflation,CPILFESL,1,month_open,Inflation 12-Month Mean,Inflation Ridge-AR Ensemble,39,0,-0.46361432049469653,0.0034309635451559295,0.48717948717948717,3,0.46462345651070719,-0.99782805624238347,0.31836274292940847,-0.16225649150928659,0.0011188725061623828,0.48717948717948717,3,0.095937723994114654,-1.6912689269055443,0.09078545185841902
Inflation,CPILFESL,2,mid_month,Inflation Ridge-AR Ensemble,Inflation Ridge-AR Ensemble,40,1,0,0,0,3,0,,,0,0,0,3,0,,
Inflation,CPILFESL,3,month_end,Inflation Ridge-AR Ensemble,Inflation Ridge-AR Ensemble,40,1,0,0,0,3,0,,,0,0,0,3,0,,
Inflation,CPILFESL,4,pre_release,Inflation Ridge-AR Ensemble,Inflation Ridge-AR Ensemble,40,1,0,0,0,3,0,,,0,0,0,3,0,,
Inflation,PCEPI,1,month_open,Inflation Ridge-AR Ensemble,Inflation Bridge Ridge,38,0,-0.26310885163738124,0.0835042815931622,0.47368421052631576,3,0.56511989922865957,-0.46558058209683001,0.64151574475572914,-0.074542146469210119,0.036780260464018388,0.47368421052631576,3,0.1395289488164749,-0.53424143951128611,0.59317450211326617
Inflation,PCEPI,2,mid_month,Inflation Bridge Ridge,Inflation Bridge Ridge,39,1,0,0,0,3,0,,,0,0,0,3,0,,
