domain_name,target_series,target_period,expected_stage_count,observed_stage_count,present_stages,missing_stages,complete_stage_set,primary_stage_cell_included,secondary_target_summary_included
GDP,GDPC1,2023Q2,5,5,early_quarter|after_month_1|after_month_2|quarter_end|pre_advance_release,,1,1,1
GDP,GDPC1,2023Q3,5,5,early_quarter|after_month_1|after_month_2|quarter_end|pre_advance_release,,1,1,1
GDP,GDPC1,2023Q4,5,5,early_quarter|after_month_1|after_month_2|quarter_end|pre_advance_release,,1,1,1
GDP,GDPC1,2024Q1,5,5,early_quarter|after_month_1|after_month_2|quarter_end|pre_advance_release,,1,1,1
GDP,GDPC1,2024Q2,5,5,early_quarter|after_month_1|after_month_2|quarter_end|pre_advance_release,,1,1,1
GDP,GDPC1,2024Q3,5,5,early_quarter|after_month_1|after_month_2|quarter_end|pre_advance_release,,1,1,1
GDP,GDPC1,2024Q4,5,5,early_quarter|after_month_1|after_month_2|quarter_end|pre_advance_release,,1,1,1
GDP,GDPC1,2025Q1,5,5,early_quarter|after_month_1|after_month_2|quarter_end|pre_advance_release,,1,1,1
GDP,GDPC1,2025Q2,5,5,early_quarter|after_month_1|after_month_2|quarter_end|pre_advance_release,,1,1,1
GDP,GDPC1,2025Q3,5,5,early_quarter|after_month_1|after_month_2|quarter_end|pre_advance_release,,1,1,1
GDP,GDPC1,2025Q4,5,5,early_quarter|after_month_1|after_month_2|quarter_end|pre_advance_release,,1,1,1
GDP,GDPC1,2026Q1,5,5,early_quarter|after_month_1|after_month_2|quarter_end|pre_advance_release,,1,1,1
Inflation,CPIAUCSL,2023-02,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPIAUCSL,2023-03,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPIAUCSL,2023-04,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPIAUCSL,2023-05,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPIAUCSL,2023-06,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPIAUCSL,2023-07,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPIAUCSL,2023-08,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPIAUCSL,2023-09,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPIAUCSL,2023-10,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPIAUCSL,2023-11,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPIAUCSL,2023-12,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPIAUCSL,2024-01,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPIAUCSL,2024-02,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPIAUCSL,2024-03,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPIAUCSL,2024-04,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPIAUCSL,2024-05,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPIAUCSL,2024-06,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
Inflation,CPIAUCSL,2024-07,4,4,month_open|mid_month|month_end|pre_release,,1,1,1
