domain_name,target_series,stage_order,forecast_stage,target_period,selected_model,forecast_date,actual_release_date,interval_method,is_primary,eligible_h4,nominal_coverage,point_forecast,actual,forecast_error,prior_observable_error_count,calibration_window_count,minimum_prior_errors,calibration_window,calibration_cutoff_target_period,max_calibration_release_date,interval_half_width,lower_80,upper_80,interval_width,interval_covered,violation,lower_miss,upper_miss,interval_score
GDP,GDPC1,1,early_quarter,2023Q2,Dynamic Factor Model,2023-04-15,2023-07-27,rolling_q80,1,1,0.8,2.4868470617010976,2.3856035174837587,-0.10124354421733894,32,20,12,20,2022Q4,2023-01-26,4.598092376440155,-2.1112453147390573,7.0849394381412525,9.19618475288031,1,0,0,0,9.19618475288031
GDP,GDPC1,1,early_quarter,2023Q2,Dynamic Factor Model,2023-04-15,2023-07-27,gaussian_rmse,0,1,0.8,2.4868470617010976,2.3856035174837587,-0.10124354421733894,32,20,12,20,2022Q4,2023-01-26,11.736281622079481,-9.249434560378383,14.22312868378058,23.472563244158962,1,0,0,0,23.472563244158962
GDP,GDPC1,1,early_quarter,2023Q3,Dynamic Factor Model,2023-07-15,2023-10-26,rolling_q80,1,1,0.8,2.4301648462742493,4.762763859133656,2.332599012859407,33,20,12,20,2023Q1,2023-04-27,4.598092376440155,-2.1679275301659056,7.028257222714404,9.19618475288031,1,0,0,0,9.19618475288031
GDP,GDPC1,1,early_quarter,2023Q3,Dynamic Factor Model,2023-07-15,2023-10-26,gaussian_rmse,0,1,0.8,2.4301648462742493,4.762763859133656,2.332599012859407,33,20,12,20,2023Q1,2023-04-27,11.742750399394499,-9.31258555312025,14.172915245668747,23.485500798788998,1,0,0,0,23.485500798788998
GDP,GDPC1,1,early_quarter,2023Q4,Dynamic Factor Model,2023-10-15,2024-01-25,rolling_q80,1,1,0.8,2.456753468889968,3.226814258368904,0.770060789478936,34,20,12,20,2023Q2,2023-07-27,4.598092376440155,-2.1413389075501867,7.054845845330123,9.19618475288031,1,0,0,0,9.19618475288031
GDP,GDPC1,1,early_quarter,2023Q4,Dynamic Factor Model,2023-10-15,2024-01-25,gaussian_rmse,0,1,0.8,2.456753468889968,3.226814258368904,0.770060789478936,34,20,12,20,2023Q2,2023-07-27,11.736717077070969,-9.279963608181001,14.193470545960936,23.473434154141938,1,0,0,0,23.473434154141938
GDP,GDPC1,1,early_quarter,2024Q1,Dynamic Factor Model,2024-01-15,2024-04-25,rolling_q80,1,1,0.8,2.6107423850476468,1.5773785873641089,-1.033363797683538,35,20,12,20,2023Q3,2023-10-26,4.598092376440155,-1.9873499913925081,7.208834761487802,9.19618475288031,1,0,0,0,9.19618475288031
GDP,GDPC1,1,early_quarter,2024Q1,Dynamic Factor Model,2024-01-15,2024-04-25,gaussian_rmse,0,1,0.8,2.6107423850476468,1.5773785873641089,-1.033363797683538,35,20,12,20,2023Q3,2023-10-26,11.752811486326182,-9.142069101278535,14.36355387137383,23.505622972652365,1,0,0,0,23.505622972652365
GDP,GDPC1,1,early_quarter,2024Q2,Dynamic Factor Model,2024-04-15,2024-07-25,rolling_q80,1,1,0.8,2.7778115888870167,2.802039266677525,0.024227677790508384,36,20,12,20,2023Q4,2024-01-25,4.598092376440155,-1.8202807875531382,7.375903965327172,9.19618475288031,1,0,0,0,9.19618475288031
GDP,GDPC1,1,early_quarter,2024Q2,Dynamic Factor Model,2024-04-15,2024-07-25,gaussian_rmse,0,1,0.8,2.7778115888870167,2.802039266677525,0.024227677790508384,36,20,12,20,2023Q4,2024-01-25,11.754407748759158,-8.976596159872141,14.532219337646175,23.508815497518317,1,0,0,0,23.508815497518317
GDP,GDPC1,1,early_quarter,2024Q3,Dynamic Factor Model,2024-07-15,2024-10-30,rolling_q80,1,1,0.8,2.4147085887846713,2.7863912480171393,0.371682659232468,37,20,12,20,2024Q1,2024-04-25,4.598092376440155,-2.1833837876554836,7.012800965224827,9.19618475288031,1,0,0,0,9.19618475288031
GDP,GDPC1,1,early_quarter,2024Q3,Dynamic Factor Model,2024-07-15,2024-10-30,gaussian_rmse,0,1,0.8,2.4147085887846713,2.7863912480171393,0.371682659232468,37,20,12,20,2024Q1,2024-04-25,11.757276600938651,-9.34256801215398,14.171985189723323,23.514553201877302,1,0,0,0,23.514553201877302
GDP,GDPC1,1,early_quarter,2024Q4,Dynamic Factor Model,2024-10-15,2025-01-30,rolling_q80,1,1,0.8,2.8399705638099797,2.2264988560046106,-0.6134717078053691,38,20,12,20,2024Q2,2024-07-25,4.598092376440155,-1.7581218126301752,7.438062940250134,9.19618475288031,1,0,0,0,9.19618475288031
GDP,GDPC1,1,early_quarter,2024Q4,Dynamic Factor Model,2024-10-15,2025-01-30,gaussian_rmse,0,1,0.8,2.8399705638099797,2.2264988560046106,-0.6134717078053691,38,20,12,20,2024Q2,2024-07-25,11.757025973688302,-8.917055409878323,14.596996537498281,23.514051947376604,1,0,0,0,23.514051947376604
GDP,GDPC1,1,early_quarter,2025Q1,Dynamic Factor Model,2025-01-15,2025-04-30,rolling_q80,1,1,0.8,2.7735007573044714,-0.27643155746019943,-3.049932314764671,39,20,12,20,2024Q3,2024-10-30,4.598092376440155,-1.8245916191356835,7.371593133744627,9.19618475288031,1,0,0,0,9.19618475288031
GDP,GDPC1,1,early_quarter,2025Q1,Dynamic Factor Model,2025-01-15,2025-04-30,gaussian_rmse,0,1,0.8,2.7735007573044714,-0.27643155746019943,-3.049932314764671,39,20,12,20,2024Q3,2024-10-30,11.755514986552726,-8.982014229248254,14.529015743857197,23.51102997310545,1,0,0,0,23.51102997310545
GDP,GDPC1,1,early_quarter,2025Q2,Dynamic Factor Model,2025-04-15,2025-07-30,rolling_q80,1,1,0.8,2.4835642539617417,2.925051983265803,0.4414877293040611,40,20,12,20,2024Q4,2025-01-30,4.598092376440155,-2.114528122478413,7.081656630401897,9.19618475288031,1,0,0,0,9.19618475288031
GDP,GDPC1,1,early_quarter,2025Q2,Dynamic Factor Model,2025-04-15,2025-07-30,gaussian_rmse,0,1,0.8,2.4835642539617417,2.925051983265803,0.4414877293040611,40,20,12,20,2024Q4,2025-01-30,11.755865277630427,-9.272301023668685,14.239429531592169,23.511730555260854,1,0,0,0,23.511730555260854
GDP,GDPC1,1,early_quarter,2025Q3,Dynamic Factor Model,2025-07-15,2025-12-23,rolling_q80,1,1,0.8,2.545158465407462,4.2511297453771135,1.7059712799696514,41,20,12,20,2025Q1,2025-04-30,4.474129321713301,-1.9289708563058388,7.0192877871207635,8.948258643426602,1,0,0,0,8.948258643426602
GDP,GDPC1,1,early_quarter,2025Q3,Dynamic Factor Model,2025-07-15,2025-12-23,gaussian_rmse,0,1,0.8,2.545158465407462,4.2511297453771135,1.7059712799696514,41,20,12,20,2025Q1,2025-04-30,11.590103993532662,-9.044945528125199,14.135262458940124,23.180207987065323,1,0,0,0,23.180207987065323
GDP,GDPC1,1,early_quarter,2025Q4,Dynamic Factor Model,2025-10-15,2026-02-20,rolling_q80,1,1,0.8,1.962860695264586,1.4125209345351664,-0.5503397607294196,42,20,12,20,2025Q2,2025-07-30,3.628918197353875,-1.6660575020892892,5.591778892618461,7.25783639470775,1,0,0,0,7.25783639470775
GDP,GDPC1,1,early_quarter,2025Q4,Dynamic Factor Model,2025-10-15,2026-02-20,gaussian_rmse,0,1,0.8,1.962860695264586,1.4125209345351664,-0.5503397607294196,42,20,12,20,2025Q2,2025-07-30,6.137550123287403,-4.174689428022816,8.100410818551989,12.275100246574805,1,0,0,0,12.275100246574805
GDP,GDPC1,1,early_quarter,2026Q1,Dynamic Factor Model,2026-01-15,2026-04-30,rolling_q80,1,1,0.8,2.519379865879302,1.970185534602109,-0.5491943312771927,43,20,12,20,2025Q3,2025-12-23,3.380350568514338,-0.860970702635036,5.899730434393639,6.760701137028676,1,0,0,0,6.760701137028676
GDP,GDPC1,1,early_quarter,2026Q1,Dynamic Factor Model,2026-01-15,2026-04-30,gaussian_rmse,0,1,0.8,2.519379865879302,1.970185534602109,-0.5491943312771927,43,20,12,20,2025Q3,2025-12-23,2.840558242253226,-0.3211783763739242,5.359938108132528,5.681116484506452,1,0,0,0,5.681116484506452
GDP,GDPC1,2,after_month_1,2023Q2,Dynamic Factor Model,2023-05-15,2023-07-27,rolling_q80,1,1,0.8,2.4992570090371475,2.3856035174837587,-0.11365349155338889,33,20,12,20,2023Q1,2023-04-27,5.288439419981249,-2.7891824109441017,7.787696429018396,10.576878839962498,1,0,0,0,10.576878839962498
GDP,GDPC1,2,after_month_1,2023Q2,Dynamic Factor Model,2023-05-15,2023-07-27,gaussian_rmse,0,1,0.8,2.4992570090371475,2.3856035174837587,-0.11365349155338889,33,20,12,20,2023Q1,2023-04-27,8.52584099630428,-6.0265839872671325,11.025098005341428,17.05168199260856,1,0,0,0,17.05168199260856
GDP,GDPC1,2,after_month_1,2023Q3,Dynamic Factor Model,2023-08-15,2023-10-26,rolling_q80,1,1,0.8,2.548113660481311,4.762763859133656,2.2146501986523455,34,20,12,20,2023Q2,2023-07-27,5.288439419981249,-2.7403257594999384,7.83655308046256,10.576878839962498,1,0,0,0,10.576878839962498
GDP,GDPC1,2,after_month_1,2023Q3,Dynamic Factor Model,2023-08-15,2023-10-26,gaussian_rmse,0,1,0.8,2.548113660481311,4.762763859133656,2.2146501986523455,34,20,12,20,2023Q2,2023-07-27,8.524235578695304,-5.976121918213993,11.072349239176615,17.04847115739061,1,0,0,0,17.04847115739061
GDP,GDPC1,2,after_month_1,2023Q4,Dynamic Factor Model,2023-11-15,2024-01-25,rolling_q80,1,1,0.8,2.5015111157239915,3.226814258368904,0.7253031426449126,35,20,12,20,2023Q3,2023-10-26,5.288439419981249,-2.7869283042572577,7.789950535705241,10.576878839962498,1,0,0,0,10.576878839962498
GDP,GDPC1,2,after_month_1,2023Q4,Dynamic Factor Model,2023-11-15,2024-01-25,gaussian_rmse,0,1,0.8,2.5015111157239915,3.226814258368904,0.7253031426449126,35,20,12,20,2023Q3,2023-10-26,8.545460287983353,-6.043949172259362,11.046971403707344,17.090920575966706,1,0,0,0,17.090920575966706
GDP,GDPC1,2,after_month_1,2024Q1,Dynamic Factor Model,2024-02-15,2024-04-25,rolling_q80,1,1,0.8,2.716816921898138,1.5773785873641089,-1.139438334534029,36,20,12,20,2023Q4,2024-01-25,5.288439419981249,-2.5716224980831113,8.005256341879388,10.5768788399625,1,0,0,0,10.5768788399625
GDP,GDPC1,2,after_month_1,2024Q1,Dynamic Factor Model,2024-02-15,2024-04-25,gaussian_rmse,0,1,0.8,2.716816921898138,1.5773785873641089,-1.139438334534029,36,20,12,20,2023Q4,2024-01-25,8.545727857581129,-5.828910935682991,11.262544779479267,17.091455715162258,1,0,0,0,17.091455715162258
GDP,GDPC1,2,after_month_1,2024Q2,Dynamic Factor Model,2024-05-15,2024-07-25,rolling_q80,1,1,0.8,2.4160073852916923,2.802039266677525,0.3860318813858328,37,20,12,20,2024Q1,2024-04-25,5.288439419981249,-2.872432034689557,7.704446805272942,10.576878839962498,1,0,0,0,10.576878839962498
GDP,GDPC1,2,after_month_1,2024Q2,Dynamic Factor Model,2024-05-15,2024-07-25,gaussian_rmse,0,1,0.8,2.4160073852916923,2.802039266677525,0.3860318813858328,37,20,12,20,2024Q1,2024-04-25,8.546006129255149,-6.129998743963457,10.962013514546841,17.092012258510298,1,0,0,0,17.092012258510298
GDP,GDPC1,2,after_month_1,2024Q3,Dynamic Factor Model,2024-08-15,2024-10-30,rolling_q80,1,1,0.8,1.8813085519709605,2.7863912480171393,0.9050826960461789,38,20,12,20,2024Q2,2024-07-25,5.288439419981249,-3.407130868010289,7.1697479719522095,10.576878839962498,1,0,0,0,10.576878839962498
