domain_name,target_series,stage_order,forecast_stage,selected_model,primary_method,benchmark_method,n,primary_coverage,benchmark_coverage,coverage_diff_p_minus_b,mean_score_diff_p_minus_b,median_score_diff_p_minus_b,hac_bw_score,hac_se_score,hac_z_score,hac_p_score_two_sided,mean_width_diff_p_minus_b,median_width_diff_p_minus_b
GDP,GDPC1,1,early_quarter,Dynamic Factor Model,rolling_q80,gaussian_rmse,12,1.0,1.0,0.0,-12.241772342661797,-14.299377132840371,2,1.7217162021697192,-7.110214986206569,1.1586287484988134e-12,-12.241772342661797,-14.299377132840371
GDP,GDPC1,2,after_month_1,Dynamic Factor Model,rolling_q80,gaussian_rmse,12,1.0,1.0,0.0,-5.002335880278534,-6.514309305601983,2,1.0807082168289441,-4.6287571449734894,3.678668687667752e-06,-5.002335880278534,-6.514309305601983
GDP,GDPC1,3,after_month_2,Bridge–DFM Ensemble,rolling_q80,gaussian_rmse,12,1.0,1.0,0.0,1.6435717994730787,2.0218334040711374,2,0.33241861365532116,4.944283298098549,7.642449921796413e-07,1.6435717994730787,2.0218334040711374
GDP,GDPC1,4,quarter_end,Rolling Bridge–DFM Ensemble,rolling_q80,gaussian_rmse,12,1.0,1.0,0.0,1.1463512707229946,1.3019551286506132,2,0.1889031504401135,6.068460309169981,1.2914231906080431e-09,1.1463512707229946,1.3019551286506132
GDP,GDPC1,5,pre_advance_release,Dynamic Factor Model,rolling_q80,gaussian_rmse,12,1.0,1.0,0.0,1.9331937265939014,2.5466667641085463,2,0.40621592061736006,4.759029935744189,1.9452558674970533e-06,1.9331937265939014,2.5466667641085463
Inflation,CPIAUCSL,1,month_open,Inflation Ridge-AR Ensemble,exp_weighted_q80,gaussian_rmse,39,0.9230769230769231,0.9487179487179487,-0.02564102564102555,-1.0746346487010112,-2.2312002091557197,3,0.5161339365566161,-2.08208484772466,0.037334720313976,-1.8302955325936119,-2.2515031837267863
Inflation,CPIAUCSL,1,month_open,Inflation Ridge-AR Ensemble,exp_weighted_q80,rolling_q80,39,0.9230769230769231,0.9230769230769231,0.0,-0.2722454177924919,-0.45822809031311884,3,0.29727645073674763,-0.9157988031604228,0.3597724313695321,-0.6175511406518728,-0.5164885152368743
Inflation,CPIAUCSL,2,mid_month,Inflation Bridge Ridge,exp_weighted_q80,gaussian_rmse,40,0.85,0.9,-0.050000000000000044,-0.14638326813860042,-0.6699078620636945,3,0.48428771047674857,-0.30226508947438696,0.762449988940858,-1.4987257818477264,-1.2866180387300723
Inflation,CPIAUCSL,2,mid_month,Inflation Bridge Ridge,exp_weighted_q80,rolling_q80,40,0.85,0.9,-0.050000000000000044,-0.040454702296777036,-0.15007385773077964,3,0.3811084674173659,-0.10615010096974203,0.9154632608322144,-0.9970296586386276,-0.7385134674050384
Inflation,CPIAUCSL,3,month_end,Inflation Bridge Ridge,exp_weighted_q80,gaussian_rmse,40,0.875,0.9,-0.025000000000000022,-0.20923606064883304,-0.6963155034436364,3,0.48510976164719366,-0.4313169455472727,0.6662379306497079,-1.491256228976656,-1.3094172365301295
