domain_name,target_series,stage_order,forecast_stage,target_period,selected_model,variant,forecast_date,actual_release_date,point_forecast,actual,prior_observable_error_count,calibration_window_count,interval_half_width,lower_80,upper_80,interval_width,interval_covered,violation,interval_score
GDP,GDPC1,1,early_quarter,2023Q2,Dynamic Factor Model,short_window,2023-04-15,2023-07-27,2.4868470617010976,2.3856035174837587,32,12,7.5118071730671119,-5.0249601113660143,9.9986542347682104,15.023614346134224,1,0,15.023614346134224
GDP,GDPC1,1,early_quarter,2023Q2,Dynamic Factor Model,long_window,2023-04-15,2023-07-27,2.4868470617010976,2.3856035174837587,32,32,3.3803505685143378,-0.8935035068132402,5.8671976302154354,6.7607011370286756,1,0,6.7607011370286756
GDP,GDPC1,2,after_month_1,2023Q2,Dynamic Factor Model,short_window,2023-05-15,2023-07-27,2.4992570090371475,2.3856035174837587,33,12,5.2884394199812492,-2.7891824109441017,7.7876964290183963,10.576878839962498,1,0,10.576878839962498
GDP,GDPC1,2,after_month_1,2023Q2,Dynamic Factor Model,long_window,2023-05-15,2023-07-27,2.4992570090371475,2.3856035174837587,33,32,3.7033740833995381,-1.2041170743623906,6.2026310924366861,7.4067481667990762,1,0,7.4067481667990762
GDP,GDPC1,3,after_month_2,2023Q2,Bridge–DFM Ensemble,short_window,2023-06-15,2023-07-27,2.3459478743075555,2.3856035174837587,33,12,5.9664757879885784,-3.6205279136810229,8.3124236622961334,11.932951575977157,1,0,11.932951575977157
GDP,GDPC1,3,after_month_2,2023Q2,Bridge–DFM Ensemble,long_window,2023-06-15,2023-07-27,2.3459478743075555,2.3856035174837587,33,32,4.489383371585749,-2.1434354972781935,6.835331245893304,8.9787667431714979,1,0,8.9787667431714979
GDP,GDPC1,4,quarter_end,2023Q2,Rolling Bridge–DFM Ensemble,short_window,2023-06-30,2023-07-27,2.5758594883958725,2.3856035174837587,33,12,5.4774078387000102,-2.9015483503041377,8.0532673270958828,10.95481567740002,1,0,10.95481567740002
GDP,GDPC1,4,quarter_end,2023Q2,Rolling Bridge–DFM Ensemble,long_window,2023-06-30,2023-07-27,2.5758594883958725,2.3856035174837587,33,32,3.2784089979206144,-0.70254950952474182,5.8542684863164869,6.5568179958412287,1,0,6.5568179958412287
GDP,GDPC1,5,pre_advance_release,2023Q2,Dynamic Factor Model,short_window,2023-07-26,2023-07-27,2.3510759369600653,2.3856035174837587,33,12,6.4802433434773086,-4.1291674065172437,8.8313192804373735,12.960486686954617,1,0,12.960486686954617
GDP,GDPC1,5,pre_advance_release,2023Q2,Dynamic Factor Model,long_window,2023-07-26,2023-07-27,2.3510759369600653,2.3856035174837587,33,32,4.0833302950110886,-1.7322543580510232,6.4344062319711544,8.1666605900221771,1,0,8.1666605900221771
GDP,GDPC1,1,early_quarter,2023Q3,Dynamic Factor Model,short_window,2023-07-15,2023-10-26,2.4301648462742493,4.7627638591336563,33,12,4.5980923764401549,-2.1679275301659056,7.0282572227144042,9.1961847528803098,1,0,9.1961847528803098
GDP,GDPC1,1,early_quarter,2023Q3,Dynamic Factor Model,long_window,2023-07-15,2023-10-26,2.4301648462742493,4.7627638591336563,33,32,3.3803505685143378,-0.95018572224008846,5.8105154147885871,6.7607011370286756,1,0,6.7607011370286756
GDP,GDPC1,2,after_month_1,2023Q3,Dynamic Factor Model,short_window,2023-08-15,2023-10-26,2.5481136604813108,4.7627638591336563,34,12,5.0716691001424774,-2.5235554396611666,7.6197827606237887,10.143338200284955,1,0,10.143338200284955
GDP,GDPC1,2,after_month_1,2023Q3,Dynamic Factor Model,long_window,2023-08-15,2023-10-26,2.5481136604813108,4.7627638591336563,34,32,3.7033740833995381,-1.1552604229182273,6.2514877438808494,7.4067481667990762,1,0,7.4067481667990762
GDP,GDPC1,3,after_month_2,2023Q3,Bridge–DFM Ensemble,short_window,2023-09-15,2023-10-26,2.1794200406009305,4.7627638591336563,34,12,5.576566244059757,-3.3971462034588265,7.755986284660688,11.153132488119514,1,0,11.153132488119514
GDP,GDPC1,3,after_month_2,2023Q3,Bridge–DFM Ensemble,long_window,2023-09-15,2023-10-26,2.1794200406009305,4.7627638591336563,34,32,4.489383371585749,-2.3099633309848184,6.6688034121866799,8.9787667431714979,1,0,8.9787667431714979
GDP,GDPC1,4,quarter_end,2023Q3,Rolling Bridge–DFM Ensemble,short_window,2023-09-30,2023-10-26,1.9381876977046764,4.7627638591336563,34,12,5.4774078387000102,-3.5392201409953339,7.4155955364046866,10.95481567740002,1,0,10.95481567740002
GDP,GDPC1,4,quarter_end,2023Q3,Rolling Bridge–DFM Ensemble,long_window,2023-09-30,2023-10-26,1.9381876977046764,4.7627638591336563,34,32,3.2784089979206144,-1.340221300215938,5.2165966956252907,6.5568179958412287,1,0,6.5568179958412287
GDP,GDPC1,5,pre_advance_release,2023Q3,Dynamic Factor Model,short_window,2023-10-25,2023-10-26,2.2665938227062492,4.7627638591336563,34,12,5.60480868040848,-3.3382148577022308,7.8714025031147292,11.20961736081696,1,0,11.20961736081696
GDP,GDPC1,5,pre_advance_release,2023Q3,Dynamic Factor Model,long_window,2023-10-25,2023-10-26,2.2665938227062492,4.7627638591336563,34,32,4.0833302950110886,-1.8167364723048394,6.3499241177173378,8.1666605900221771,1,0,8.1666605900221771
GDP,GDPC1,1,early_quarter,2023Q4,Dynamic Factor Model,short_window,2023-10-15,2024-01-25,2.4567534688899682,3.2268142583689041,34,12,4.4741293217133009,-2.0173758528233328,6.9308827906032686,8.9482586434266018,1,0,8.9482586434266018
GDP,GDPC1,1,early_quarter,2023Q4,Dynamic Factor Model,long_window,2023-10-15,2024-01-25,2.4567534688899682,3.2268142583689041,34,32,3.3803505685143378,-0.92359709962436964,5.8371040374043055,6.7607011370286756,1,0,6.7607011370286756
GDP,GDPC1,2,after_month_1,2023Q4,Dynamic Factor Model,short_window,2023-11-15,2024-01-25,2.5015111157239915,3.2268142583689041,35,12,4.2078323367546346,-1.7063212210306431,6.7093434524786257,8.4156646735092693,1,0,8.4156646735092693
GDP,GDPC1,2,after_month_1,2023Q4,Dynamic Factor Model,long_window,2023-11-15,2024-01-25,2.5015111157239915,3.2268142583689041,35,32,3.7033740833995381,-1.2018629676755466,6.2048851991235292,7.4067481667990762,1,0,7.4067481667990762
GDP,GDPC1,3,after_month_2,2023Q4,Bridge–DFM Ensemble,short_window,2023-12-15,2024-01-25,2.3825579122736817,3.2268142583689041,35,12,4.9463500914440059,-2.5637921791703242,7.3289080037176877,9.8927001828880119,1,0,9.8927001828880119
GDP,GDPC1,3,after_month_2,2023Q4,Bridge–DFM Ensemble,long_window,2023-12-15,2024-01-25,2.3825579122736817,3.2268142583689041,35,32,4.489383371585749,-2.1068254593120672,6.8719412838594307,8.9787667431714979,1,0,8.9787667431714979
GDP,GDPC1,4,quarter_end,2023Q4,Rolling Bridge–DFM Ensemble,short_window,2023-12-31,2024-01-25,2.5620464730925132,3.2268142583689041,35,12,5.141526321101213,-2.5794798480086998,7.7035727941937262,10.283052642202426,1,0,10.283052642202426
GDP,GDPC1,4,quarter_end,2023Q4,Rolling Bridge–DFM Ensemble,long_window,2023-12-31,2024-01-25,2.5620464730925132,3.2268142583689041,35,32,3.2784089979206144,-0.71636252482810114,5.8404554710131276,6.5568179958412287,1,0,6.5568179958412287
GDP,GDPC1,5,pre_advance_release,2023Q4,Dynamic Factor Model,short_window,2024-01-24,2024-01-25,2.578204568898951,3.2268142583689041,35,12,4.117737426970848,-1.539532858071897,6.6959419958697985,8.235474853941696,1,0,8.235474853941696
GDP,GDPC1,5,pre_advance_release,2023Q4,Dynamic Factor Model,long_window,2024-01-24,2024-01-25,2.578204568898951,3.2268142583689041,35,32,4.0833302950110886,-1.5051257261121376,6.66153486391004,8.1666605900221771,1,0,8.1666605900221771
GDP,GDPC1,1,early_quarter,2024Q1,Dynamic Factor Model,short_window,2024-01-15,2024-04-25,2.6107423850476468,1.5773785873641089,35,12,3.6289181973538751,-1.0181758123062283,6.2396605824015214,7.2578363947077502,1,0,7.2578363947077502
GDP,GDPC1,1,early_quarter,2024Q1,Dynamic Factor Model,long_window,2024-01-15,2024-04-25,2.6107423850476468,1.5773785873641089,35,32,3.3803505685143378,-0.76960818346669102,5.991092953561985,6.7607011370286756,1,0,6.7607011370286756
GDP,GDPC1,2,after_month_1,2024Q1,Dynamic Factor Model,short_window,2024-02-15,2024-04-25,2.7168169218981379,1.5773785873641089,36,12,3.7033740833995381,-0.98655716150140016,6.4201910052976761,7.4067481667990762,1,0,7.4067481667990762
GDP,GDPC1,2,after_month_1,2024Q1,Dynamic Factor Model,long_window,2024-02-15,2024-04-25,2.7168169218981379,1.5773785873641089,36,32,3.7033740833995381,-0.98655716150140016,6.4201910052976761,7.4067481667990762,1,0,7.4067481667990762
GDP,GDPC1,3,after_month_2,2024Q1,Bridge–DFM Ensemble,short_window,2024-03-15,2024-04-25,1.5695699885769705,1.5773785873641089,36,12,4.489383371585749,-2.9198133830087785,6.0589533601627199,8.9787667431714979,1,0,8.9787667431714979
GDP,GDPC1,3,after_month_2,2024Q1,Bridge–DFM Ensemble,long_window,2024-03-15,2024-04-25,1.5695699885769705,1.5773785873641089,36,32,4.489383371585749,-2.9198133830087785,6.0589533601627199,8.9787667431714979,1,0,8.9787667431714979
