domain_name,target_series,stage_order,forecast_stage,selected_model,variant,n,covered,coverage,wilson_95_low,wilson_95_high,average_interval_width,mean_interval_score
GDP,GDPC1,1,early_quarter,Dynamic Factor Model,short_window,12,12,1,0.75750599334475921,1,6.9852573649857312,6.9852573649857312
GDP,GDPC1,1,early_quarter,Dynamic Factor Model,long_window,12,12,1,0.75750599334475921,1,6.7607011370286756,6.7607011370286756
GDP,GDPC1,2,after_month_1,Dynamic Factor Model,short_window,12,11,0.91666666666666663,0.64612008885888295,0.98513490559508288,6.639541075876906,7.4659603425151539
GDP,GDPC1,2,after_month_1,Dynamic Factor Model,long_window,12,12,1,0.75750599334475921,1,7.4067481667990762,7.4067481667990762
GDP,GDPC1,3,after_month_2,Bridge–DFM Ensemble,short_window,12,10,0.83333333333333337,0.55196913774702661,0.95303485781614627,7.3287805267558284,7.9496512776213351
GDP,GDPC1,3,after_month_2,Bridge–DFM Ensemble,long_window,12,12,1,0.75750599334475921,1,8.9787667431714961,8.9787667431714961
GDP,GDPC1,4,quarter_end,Rolling Bridge–DFM Ensemble,short_window,12,10,0.83333333333333337,0.55196913774702661,0.95303485781614627,7.4453700367899174,8.1469110072252473
GDP,GDPC1,4,quarter_end,Rolling Bridge–DFM Ensemble,long_window,12,12,1,0.75750599334475921,1,6.5568179958412287,6.5568179958412287
GDP,GDPC1,5,pre_advance_release,Dynamic Factor Model,short_window,12,11,0.91666666666666663,0.64612008885888295,0.98513490559508288,6.9919413515388014,7.6206117600459757
GDP,GDPC1,5,pre_advance_release,Dynamic Factor Model,long_window,12,12,1,0.75750599334475921,1,8.1666605900221771,8.1666605900221771
Inflation,CPIAUCSL,1,month_open,Inflation Ridge-AR Ensemble,short_memory,39,36,0.92307692307692313,0.79678928832045026,0.97349260469622034,8.8244897085999856,12.067138447742842
Inflation,CPIAUCSL,1,month_open,Inflation Ridge-AR Ensemble,long_memory,39,36,0.92307692307692313,0.79678928832045026,0.97349260469622034,9.2846374808302343,12.170488553616439
Inflation,CPIAUCSL,2,mid_month,Inflation Bridge Ridge,short_memory,40,34,0.84999999999999998,0.70927675633510301,0.92938812282679639,8.0615629034628533,11.472393705171974
Inflation,CPIAUCSL,2,mid_month,Inflation Bridge Ridge,long_memory,40,35,0.875,0.738878801611489,0.94540499749054596,8.7572163004907395,11.820441640756055
Inflation,CPIAUCSL,3,month_end,Inflation Bridge Ridge,short_memory,40,34,0.84999999999999998,0.70927675633510301,0.92938812282679639,8.1400383276611201,11.523675099417384
Inflation,CPIAUCSL,3,month_end,Inflation Bridge Ridge,long_memory,40,35,0.875,0.738878801611489,0.94540499749054596,8.7876756131491423,11.858264981566865
Inflation,CPIAUCSL,4,pre_release,Inflation Bridge Ridge,short_memory,40,34,0.84999999999999998,0.70927675633510301,0.92938812282679639,7.9848208862686478,11.493685553244541
Inflation,CPIAUCSL,4,pre_release,Inflation Bridge Ridge,long_memory,40,35,0.875,0.738878801611489,0.94540499749054596,8.6090409567823905,12.002119987991833
Inflation,CPILFESL,1,month_open,Inflation 12-Month Mean,short_memory,39,33,0.84615384615384615,0.70270536351073309,0.927525276230179,4.8926288150466712,5.7823914981949729
Inflation,CPILFESL,1,month_open,Inflation 12-Month Mean,long_memory,39,35,0.89743589743589747,0.76421145537143476,0.95938668655331627,5.3849829936925762,5.9121642502057039
Inflation,CPILFESL,2,mid_month,Inflation Ridge-AR Ensemble,short_memory,40,35,0.875,0.738878801611489,0.94540499749054596,4.1969728348124615,5.3083952687499103
Inflation,CPILFESL,2,mid_month,Inflation Ridge-AR Ensemble,long_memory,40,36,0.90000000000000002,0.76948224772477714,0.96042047131739361,4.6230779455478892,5.490368482782829
Inflation,CPILFESL,3,month_end,Inflation Ridge-AR Ensemble,short_memory,40,35,0.875,0.738878801611489,0.94540499749054596,4.2196371545543077,5.3102472898356021
Inflation,CPILFESL,3,month_end,Inflation Ridge-AR Ensemble,long_memory,40,37,0.92500000000000004,0.80135766475689463,0.9741639742254119,4.6636099505171176,5.4808246049233684
Inflation,CPILFESL,4,pre_release,Inflation Ridge-AR Ensemble,short_memory,40,35,0.875,0.738878801611489,0.94540499749054596,4.0988207858196049,5.3049195717441604
Inflation,CPILFESL,4,pre_release,Inflation Ridge-AR Ensemble,long_memory,40,36,0.90000000000000002,0.76948224772477714,0.96042047131739361,4.5662534123883534,5.4761595518566661
Inflation,PCEPI,1,month_open,Inflation Ridge-AR Ensemble,short_memory,38,35,0.92105263157894735,0.79200628542228535,0.97278540449301221,6.1730350739482063,7.4111908605178423
Inflation,PCEPI,1,month_open,Inflation Ridge-AR Ensemble,long_memory,38,35,0.92105263157894735,0.79200628542228535,0.97278540449301221,6.4185388355650534,7.4181886820416665
Inflation,PCEPI,2,mid_month,Inflation Bridge Ridge,short_memory,39,34,0.87179487179487181,0.7329425662025455,0.94397182463028617,6.4425044625946493,7.558673607035062
Inflation,PCEPI,2,mid_month,Inflation Bridge Ridge,long_memory,39,34,0.87179487179487181,0.7329425662025455,0.94397182463028617,6.8560226256606072,7.4872267935356609
