domain_name,target_series,transition_order,earlier_stage,later_stage,hac_p_value_squared_error_two_sided,test_family,raw_p,source,hac_p_value_abs_error_two_sided,stage_order,forecast_stage,hac_p_sq,hac_p_abs,p_uc,benchmark_method,hac_p_score_two_sided,holm_p,raw_sig_005,holm_sig_005
GDP,GDPC1,1,early_quarter,after_month_1,0.091870452875844402,H1_squared_error,0.091870452875844402,h1_information_gain_summary.csv,,,,,,,,,1,0,0
GDP,GDPC1,2,after_month_1,after_month_2,0.64075867640326511,H1_squared_error,0.64075867640326511,h1_information_gain_summary.csv,,,,,,,,,1,0,0
GDP,GDPC1,3,after_month_2,quarter_end,0.068132525835793198,H1_squared_error,0.068132525835793198,h1_information_gain_summary.csv,,,,,,,,,1,0,0
GDP,GDPC1,4,quarter_end,pre_advance_release,0.076951782067466099,H1_squared_error,0.076951782067466099,h1_information_gain_summary.csv,,,,,,,,,1,0,0
Inflation,CPIAUCSL,1,month_open,mid_month,0.3067764375590229,H1_squared_error,0.3067764375590229,h1_information_gain_summary.csv,,,,,,,,,1,0,0
Inflation,CPIAUCSL,2,mid_month,month_end,0.96819506209872142,H1_squared_error,0.96819506209872142,h1_information_gain_summary.csv,,,,,,,,,1,0,0
Inflation,CPIAUCSL,3,month_end,pre_release,0.43559669999170292,H1_squared_error,0.43559669999170292,h1_information_gain_summary.csv,,,,,,,,,1,0,0
Inflation,CPILFESL,1,month_open,mid_month,0.0136609165438805,H1_squared_error,0.0136609165438805,h1_information_gain_summary.csv,,,,,,,,,0.355183830140893,1,0
Inflation,CPILFESL,2,mid_month,month_end,0.5099360726510036,H1_squared_error,0.5099360726510036,h1_information_gain_summary.csv,,,,,,,,,1,0,0
Inflation,CPILFESL,3,month_end,pre_release,0.16724138581981221,H1_squared_error,0.16724138581981221,h1_information_gain_summary.csv,,,,,,,,,1,0,0
Inflation,PCEPI,1,month_open,mid_month,0.68745770854086785,H1_squared_error,0.68745770854086785,h1_information_gain_summary.csv,,,,,,,,,1,0,0
Inflation,PCEPI,2,mid_month,month_end,0.0471845100368639,H1_squared_error,0.0471845100368639,h1_information_gain_summary.csv,,,,,,,,,1,1,0
Inflation,PCEPI,3,month_end,pre_release,0.019473166041937599,H1_squared_error,0.019473166041937599,h1_information_gain_summary.csv,,,,,,,,,0.46735598500650238,1,0
Inflation,PCEPILFE,1,month_open,mid_month,0.23673848511217091,H1_squared_error,0.23673848511217091,h1_information_gain_summary.csv,,,,,,,,,1,0,0
Inflation,PCEPILFE,2,mid_month,month_end,0.0121221091401317,H1_squared_error,0.0121221091401317,h1_information_gain_summary.csv,,,,,,,,,0.32729694678355592,1,0
Inflation,PCEPILFE,3,month_end,pre_release,0.32968615361197301,H1_squared_error,0.32968615361197301,h1_information_gain_summary.csv,,,,,,,,,1,0,0
Labour,CES0500000003,1,month_open,after_week_1,0.8953148430589144,H1_squared_error,0.8953148430589144,h1_information_gain_summary.csv,,,,,,,,,1,0,0
Labour,CES0500000003,2,after_week_1,after_week_2,0.018619025428537599,H1_squared_error,0.018619025428537599,h1_information_gain_summary.csv,,,,,,,,,0.46547563571343997,1,0
Labour,CES0500000003,3,after_week_2,month_end,0.16306389423944459,H1_squared_error,0.16306389423944459,h1_information_gain_summary.csv,,,,,,,,,1,0,0
Labour,CES0500000003,4,month_end,pre_employment_report,0.73600689250715812,H1_squared_error,0.73600689250715812,h1_information_gain_summary.csv,,,,,,,,,1,0,0
Labour,PAYEMS,1,month_open,after_week_1,0.079282925042138699,H1_squared_error,0.079282925042138699,h1_information_gain_summary.csv,,,,,,,,,1,0,0
Labour,PAYEMS,2,after_week_1,after_week_2,0.52886898210809985,H1_squared_error,0.52886898210809985,h1_information_gain_summary.csv,,,,,,,,,1,0,0
Labour,PAYEMS,3,after_week_2,month_end,0.052332754878587198,H1_squared_error,0.052332754878587198,h1_information_gain_summary.csv,,,,,,,,,1,0,0
Labour,PAYEMS,4,month_end,pre_employment_report,0.59870675405850315,H1_squared_error,0.59870675405850315,h1_information_gain_summary.csv,,,,,,,,,1,0,0
Labour,UNRATE,1,month_open,after_week_1,0.41245300558797909,H1_squared_error,0.41245300558797909,h1_information_gain_summary.csv,,,,,,,,,1,0,0
Labour,UNRATE,2,after_week_1,after_week_2,0.1128365127965644,H1_squared_error,0.1128365127965644,h1_information_gain_summary.csv,,,,,,,,,1,0,0
Labour,UNRATE,3,after_week_2,month_end,0.2112764028335436,H1_squared_error,0.2112764028335436,h1_information_gain_summary.csv,,,,,,,,,1,0,0
Labour,UNRATE,4,month_end,pre_employment_report,0.0012551291527984,H1_squared_error,0.0012551291527984,h1_information_gain_summary.csv,,,,,,,,,0.035143616278355203,1,1
GDP,GDPC1,1,early_quarter,after_month_1,,H1_absolute_error,0.0265659610046344,h1_information_gain_summary.csv,0.0265659610046344,,,,,,,,0.66414902511585994,1,0
GDP,GDPC1,2,after_month_1,after_month_2,,H1_absolute_error,0.3600275101211316,h1_information_gain_summary.csv,0.3600275101211316,,,,,,,,1,0,0
GDP,GDPC1,3,after_month_2,quarter_end,,H1_absolute_error,0.016571396355890802,h1_information_gain_summary.csv,0.016571396355890802,,,,,,,,0.43085630525316082,1,0
GDP,GDPC1,4,quarter_end,pre_advance_release,,H1_absolute_error,0.070741065536511397,h1_information_gain_summary.csv,0.070741065536511397,,,,,,,,1,0,0
Inflation,CPIAUCSL,1,month_open,mid_month,,H1_absolute_error,0.42658389518734502,h1_information_gain_summary.csv,0.42658389518734502,,,,,,,,1,0,0
Inflation,CPIAUCSL,2,mid_month,month_end,,H1_absolute_error,0.57343480615335451,h1_information_gain_summary.csv,0.57343480615335451,,,,,,,,1,0,0
Inflation,CPIAUCSL,3,month_end,pre_release,,H1_absolute_error,0.039523617492354501,h1_information_gain_summary.csv,0.039523617492354501,,,,,,,,0.79047234984709003,1,0
Inflation,CPILFESL,1,month_open,mid_month,,H1_absolute_error,0.13282366930017631,h1_information_gain_summary.csv,0.13282366930017631,,,,,,,,1,0,0
Inflation,CPILFESL,2,mid_month,month_end,,H1_absolute_error,0.80933468626907568,h1_information_gain_summary.csv,0.80933468626907568,,,,,,,,1,0,0
Inflation,CPILFESL,3,month_end,pre_release,,H1_absolute_error,0.083894556599101597,h1_information_gain_summary.csv,0.083894556599101597,,,,,,,,1,0,0
Inflation,PCEPI,1,month_open,mid_month,,H1_absolute_error,0.91972370729221098,h1_information_gain_summary.csv,0.91972370729221098,,,,,,,,1,0,0
Inflation,PCEPI,2,mid_month,month_end,,H1_absolute_error,0.032633500014586897,h1_information_gain_summary.csv,0.032633500014586897,,,,,,,,0.75057050033549866,1,0
Inflation,PCEPI,3,month_end,pre_release,,H1_absolute_error,0.0286981432972537,h1_information_gain_summary.csv,0.0286981432972537,,,,,,,,0.68875543913408876,1,0
Inflation,PCEPILFE,1,month_open,mid_month,,H1_absolute_error,0.35358108468557148,h1_information_gain_summary.csv,0.35358108468557148,,,,,,,,1,0,0
Inflation,PCEPILFE,2,mid_month,month_end,,H1_absolute_error,0.061148641641265801,h1_information_gain_summary.csv,0.061148641641265801,,,,,,,,1,0,0
Inflation,PCEPILFE,3,month_end,pre_release,,H1_absolute_error,0.1931347365813223,h1_information_gain_summary.csv,0.1931347365813223,,,,,,,,1,0,0
Labour,CES0500000003,1,month_open,after_week_1,,H1_absolute_error,0.6999449972042866,h1_information_gain_summary.csv,0.6999449972042866,,,,,,,,1,0,0
Labour,CES0500000003,2,after_week_1,after_week_2,,H1_absolute_error,0.0046412242014873999,h1_information_gain_summary.csv,0.0046412242014873999,,,,,,,,0.12531305344015981,1,0
Labour,CES0500000003,3,after_week_2,month_end,,H1_absolute_error,0.061508006397870997,h1_information_gain_summary.csv,0.061508006397870997,,,,,,,,1,0,0
Labour,CES0500000003,4,month_end,pre_employment_report,,H1_absolute_error,0.95745675946018405,h1_information_gain_summary.csv,0.95745675946018405,,,,,,,,1,0,0
Labour,PAYEMS,1,month_open,after_week_1,,H1_absolute_error,0.037451722056158897,h1_information_gain_summary.csv,0.037451722056158897,,,,,,,,0.78648616317933684,1,0
Labour,PAYEMS,2,after_week_1,after_week_2,,H1_absolute_error,0.53130352787449642,h1_information_gain_summary.csv,0.53130352787449642,,,,,,,,1,0,0
Labour,PAYEMS,3,after_week_2,month_end,,H1_absolute_error,0.032905123882098902,h1_information_gain_summary.csv,0.032905123882098902,,,,,,,,0.75057050033549866,1,0
