domain_name,target_series,model_name,n,mse,rmse,mae
GDP,GDPC1,Dynamic Factor Model,160,22.84297426059123,4.779432420339389,2.4745044674745293
GDP,GDPC1,Bridge–DFM Ensemble,160,36.823441657986862,6.0682321690906704,2.7081277439129341
GDP,GDPC1,Rolling Bridge–DFM Ensemble,160,37.150969053569881,6.0951594772876847,2.7206816339565862
GDP,GDPC1,Bridge Ridge,160,63.994234095862737,7.9996396228744411,3.2285464294524928
GDP,GDPC1,AR(1),160,155.43011577373119,12.467161496256121,5.0297330805629512
Inflation,CPIAUCSL,Inflation Bridge Ridge,139,20.268646894590354,4.502071400432289,3.409685323420836
Inflation,CPIAUCSL,Inflation Ridge-AR Ensemble,139,20.365927659017661,4.5128624684359329,3.4522567980972698
Inflation,CPIAUCSL,Inflation AR(1),139,24.352407371211928,4.9348158396450748,3.8759602273133931
Inflation,CPIAUCSL,Inflation 12-Month Mean,139,25.648082714156903,5.0643936176167133,4.2092399820983104
Inflation,CPILFESL,Inflation Ridge-AR Ensemble,139,9.373295658824679,3.0615838480800552,2.3259865814525602
Inflation,CPILFESL,Inflation AR(1),139,9.9245627916942603,3.1503274102375869,2.4983602537348761
Inflation,CPILFESL,Inflation Bridge Ridge,139,11.055826817654243,3.3250303483809351,2.5666765156452525
Inflation,CPILFESL,Inflation 12-Month Mean,139,11.414895412246739,3.3785937033397104,2.5568267084304015
Inflation,PCEPI,Inflation Bridge Ridge,138,8.5997560285897432,2.9325340626478225,2.2487131139965841
Inflation,PCEPI,Inflation Ridge-AR Ensemble,138,9.1571320186028675,3.0260753491284493,2.4254269138150479
Inflation,PCEPI,Inflation 12-Month Mean,138,11.605278678547904,3.4066521217388641,2.8353030203188578
Inflation,PCEPI,Inflation AR(1),138,11.993054172943058,3.463098926242659,2.8111090721977292
Inflation,PCEPILFE,Inflation Bridge Ridge,138,5.0406399816127685,2.2451369627737119,1.7664021222125315
Inflation,PCEPILFE,Inflation Ridge-AR Ensemble,138,5.1310008198897297,2.2651712561944914,1.7834392754167794
Inflation,PCEPILFE,Inflation 12-Month Mean,138,5.9351442427269054,2.4362151470522684,1.9747322505039031
Inflation,PCEPILFE,Inflation AR(1),138,6.4312273792144392,2.5359864706292181,2.0436988065358084
Labour,CES0500000003,Labour Bridge Ridge,338,39.122548885088328,6.2548020660200212,2.8691944866745231
Labour,CES0500000003,Labour Equal-Weight Ensemble,338,44.116815193082125,6.6420490206774385,2.6983092415454797
Labour,CES0500000003,Labour Factor Ridge,338,52.057690403325935,7.215101551837364,3.0007606497062591
Labour,CES0500000003,Labour 12-Month Mean,338,53.598795525741913,7.3211198273038747,2.9022036651840599
Labour,CES0500000003,Labour AR(1),338,61.077931979262594,7.8152371671794194,3.1065720830101258
Labour,PAYEMS,Labour Bridge Ridge,388,6142939.0346631799,2478.4953166514515,727.43165679396168
Labour,PAYEMS,Labour 12-Month Mean,388,6471564.1419494562,2543.9269136414782,686.33999140893479
Labour,PAYEMS,Labour Factor Ridge,388,6810878.095057141,2609.7659080954254,701.64807464301316
Labour,PAYEMS,Labour Equal-Weight Ensemble,388,11288733.825814353,3359.8711025594944,812.86982321541302
Labour,PAYEMS,Labour AR(1),388,64016749.646217152,8001.046784403723,1324.2954820567074
Labour,UNRATE,Labour Equal-Weight Ensemble,388,2.6057668285778814,1.6142387768164539,0.46923575639049248
Labour,UNRATE,Labour AR(1),388,3.6223979218985778,1.9032598146071855,0.69481790418753997
Labour,UNRATE,Labour Bridge Ridge,388,3.9150491998220893,1.9786483264648342,0.58555984156140484
Labour,UNRATE,Labour Factor Ridge,388,4.1826352140089851,2.0451491911371611,0.66157685731541349
Labour,UNRATE,Labour 12-Month Mean,388,4.7449949885452458,2.1783009407667357,1.0895189003436427
