domain_name,target_series,stage_order,forecast_stage,model_name,n,mse,rmse,mae
GDP,GDPC1,1,early_quarter,Dynamic Factor Model,32,53.047562927662234,7.2833757920117117,3.1010859507123389
GDP,GDPC1,1,early_quarter,Rolling Bridge–DFM Ensemble,32,78.45863576507395,8.8576879469235053,3.6767767087386987
GDP,GDPC1,1,early_quarter,Bridge–DFM Ensemble,32,79.778874731476193,8.9319020780277363,3.7085848820950331
GDP,GDPC1,1,early_quarter,Bridge Ridge,32,122.95049947138581,11.088304625657875,4.5756953376723279
GDP,GDPC1,1,early_quarter,AR(1),32,125.87810750594183,11.219541323331441,5.1570216706961638
GDP,GDPC1,2,after_month_1,Dynamic Factor Model,32,28.150204594433859,5.3056766386987686,2.7240415158702365
GDP,GDPC1,2,after_month_1,Rolling Bridge–DFM Ensemble,32,69.760079038035954,8.3522499386713722,3.3833908940251787
GDP,GDPC1,2,after_month_1,Bridge–DFM Ensemble,32,69.873430318518615,8.3590328578441788,3.4049536313725435
GDP,GDPC1,2,after_month_1,Bridge Ridge,32,137.71230643647147,11.735088684644504,4.1966969199681463
GDP,GDPC1,2,after_month_1,AR(1),32,169.78321365197132,13.030088781430898,5.0412797880440623
GDP,GDPC1,3,after_month_2,Bridge–DFM Ensemble,32,9.7734507649777065,3.1262518716472139,2.1364870333511647
GDP,GDPC1,3,after_month_2,Rolling Bridge–DFM Ensemble,32,9.9746153432528963,3.1582614431444553,2.1638184131964837
GDP,GDPC1,3,after_month_2,Dynamic Factor Model,32,11.569581599596617,3.4014087669077084,2.2258251398950959
GDP,GDPC1,3,after_month_2,Bridge Ridge,32,24.001269851696062,4.8991090875480676,2.8217220133124887
GDP,GDPC1,3,after_month_2,AR(1),32,161.67413413518284,12.715114397251124,4.9910608631597793
GDP,GDPC1,4,quarter_end,Rolling Bridge–DFM Ensemble,32,9.0534791305279789,3.0088999867938413,2.0218055302926135
GDP,GDPC1,4,quarter_end,Bridge–DFM Ensemble,32,9.0571702074982667,3.0095132841538126,2.0244318739262357
GDP,GDPC1,4,quarter_end,Bridge Ridge,32,9.2262956016417412,3.0374817862238683,2.0419025439567813
GDP,GDPC1,4,quarter_end,Dynamic Factor Model,32,10.825492989299882,3.2902116936908303,2.1648521450835121
GDP,GDPC1,4,quarter_end,AR(1),32,159.90756178777997,12.645456171596972,4.9796515404573762
GDP,GDPC1,5,pre_advance_release,Dynamic Factor Model,32,10.622029191963565,3.2591454695922311,2.1567175858114633
GDP,GDPC1,5,pre_advance_release,Bridge–DFM Ensemble,32,15.634282267463526,3.9540210251671053,2.2661812988196934
GDP,GDPC1,5,pre_advance_release,Rolling Bridge–DFM Ensemble,32,18.508035990958636,4.3020966970720957,2.3576166235299572
GDP,GDPC1,5,pre_advance_release,Bridge Ridge,32,26.080799118118581,5.1069363730242987,2.5067153323527185
GDP,GDPC1,5,pre_advance_release,AR(1),32,159.90756178777997,12.645456171596972,4.9796515404573762
Inflation,CPIAUCSL,1,month_open,Inflation Ridge-AR Ensemble,34,24.368702182945903,4.9364665686040965,3.9535533429315204
Inflation,CPIAUCSL,1,month_open,Inflation Bridge Ridge,34,25.618345139487932,5.0614568198778436,4.0787759573710627
Inflation,CPIAUCSL,1,month_open,Inflation 12-Month Mean,34,28.358623455437346,5.3252815376689098,4.4664528373091539
Inflation,CPIAUCSL,1,month_open,Inflation AR(1),34,31.644810569410105,5.625372038310898,4.4805815176517552
Inflation,CPIAUCSL,2,mid_month,Inflation Bridge Ridge,35,18.558266730825004,4.3079306785073737,3.1990729182113733
Inflation,CPIAUCSL,2,mid_month,Inflation Ridge-AR Ensemble,35,19.098788261531549,4.3702160428898189,3.2987022586531252
Inflation,CPIAUCSL,2,mid_month,Inflation AR(1),35,22.03187617674725,4.6938125417135321,3.6810308525449198
Inflation,CPIAUCSL,2,mid_month,Inflation 12-Month Mean,35,24.770357971488238,4.9769828180824813,4.1258190690518051
Inflation,CPIAUCSL,3,month_end,Inflation Bridge Ridge,35,18.553048553013458,4.3073249880887161,3.1951768422633631
Inflation,CPIAUCSL,3,month_end,Inflation Ridge-AR Ensemble,35,19.095840960359304,4.3698788267364241,3.2967542206791207
Inflation,CPIAUCSL,3,month_end,Inflation AR(1),35,22.03187617674725,4.6938125417135321,3.6810308525449198
Inflation,CPIAUCSL,3,month_end,Inflation 12-Month Mean,35,24.770357971488238,4.9769828180824813,4.1258190690518051
Inflation,CPIAUCSL,4,pre_release,Inflation Bridge Ridge,35,18.497775676317808,4.3009040533727099,3.1848324510932651
Inflation,CPIAUCSL,4,pre_release,Inflation Ridge-AR Ensemble,35,19.014744217631836,4.3605898933093714,3.2743401285491491
Inflation,CPIAUCSL,4,pre_release,Inflation AR(1),35,21.909420939034494,4.6807500402215982,3.6784725805216429
Inflation,CPIAUCSL,4,pre_release,Inflation 12-Month Mean,35,24.770435479393221,4.9769906047121708,4.1262178917007883
Inflation,CPILFESL,1,month_open,Inflation 12-Month Mean,34,12.787241958928199,3.575925329048161,2.7326479268621902
Inflation,CPILFESL,1,month_open,Inflation Ridge-AR Ensemble,34,13.067171322857646,3.6148542602513931,2.8146860962571023
Inflation,CPILFESL,1,month_open,Inflation AR(1),34,14.306440888073537,3.7823856080618667,3.0297932585655163
Inflation,CPILFESL,1,month_open,Inflation Bridge Ridge,34,15.832825923143346,3.9790483690379217,3.1590136422703976
Inflation,CPILFESL,2,mid_month,Inflation Ridge-AR Ensemble,35,8.1712285027562732,2.8585360768680661,2.1692942809540092
Inflation,CPILFESL,2,mid_month,Inflation AR(1),35,8.5140735908913623,2.9178885501148537,2.3294061198217748
Inflation,CPILFESL,2,mid_month,Inflation Bridge Ridge,35,9.5000973514799725,3.0822227939394602,2.3771316635110695
Inflation,CPILFESL,2,mid_month,Inflation 12-Month Mean,35,10.970068180132479,3.312109324906483,2.4997512813518648
Inflation,CPILFESL,3,month_end,Inflation Ridge-AR Ensemble,35,8.1708702381906537,2.8584734104396796,2.1685009141009273
Inflation,CPILFESL,3,month_end,Inflation AR(1),35,8.5140735908913623,2.9178885501148537,2.3294061198217748
Inflation,CPILFESL,3,month_end,Inflation Bridge Ridge,35,9.4990754039562262,3.0820570085506573,2.3755449298049052
Inflation,CPILFESL,3,month_end,Inflation 12-Month Mean,35,10.970068180132479,3.312109324906483,2.4997512813518648
Inflation,CPILFESL,4,pre_release,Inflation Ridge-AR Ensemble,35,8.1894518761808008,2.8617218376671065,2.1654278777783316
Inflation,CPILFESL,4,pre_release,Inflation AR(1),35,8.4888596139601962,2.9135647605571076,2.3200193168684575
Inflation,CPILFESL,4,pre_release,Inflation Bridge Ridge,35,9.5277942807656899,3.0867125361403009,2.371939744898214
Inflation,CPILFESL,4,pre_release,Inflation 12-Month Mean,35,10.971413231127558,3.3123123691958098,2.500179807539451
Inflation,PCEPI,1,month_open,Inflation Ridge-AR Ensemble,34,9.5723604643031095,3.0939231510015097,2.5689273907462571
Inflation,PCEPI,1,month_open,Inflation Bridge Ridge,34,9.7891253536469698,3.1287577972171272,2.6197283585414373
Inflation,PCEPI,1,month_open,Inflation 12-Month Mean,34,12.30043511317472,3.5071976153582676,2.9471181499794956
Inflation,PCEPI,1,month_open,Inflation AR(1),34,13.126961960526693,3.6231149527066751,2.9619547266800321
Inflation,PCEPI,2,mid_month,Inflation Bridge Ridge,34,7.9744299962891834,2.8239033263001732,2.1532156638896023
Inflation,PCEPI,2,mid_month,Inflation Ridge-AR Ensemble,34,9.3695770623765213,3.0609764883736892,2.4945096510955334
Inflation,PCEPI,2,mid_month,Inflation 12-Month Mean,34,12.30043511317472,3.5071976153582676,2.9471181499794956
Inflation,PCEPI,2,mid_month,Inflation AR(1),34,13.126961960526693,3.6231149527066751,2.9619547266800321
Inflation,PCEPI,3,month_end,Inflation Bridge Ridge,35,8.3062105852771548,2.8820497194318411,2.1145266351914374
Inflation,PCEPI,3,month_end,Inflation Ridge-AR Ensemble,35,8.8428874565650997,2.9736992881872069,2.3207176280487842
Inflation,PCEPI,3,month_end,Inflation AR(1),35,10.889210064121752,3.2998803105751806,2.6633626728118807
Inflation,PCEPI,3,month_end,Inflation 12-Month Mean,35,10.965860166337469,3.3114740171617636,2.7338920530738977
Inflation,PCEPI,4,pre_release,Inflation Bridge Ridge,35,8.3453737017958556,2.8888360461950513,2.1152537353477978
Inflation,PCEPI,4,pre_release,Inflation Ridge-AR Ensemble,35,8.8616366194374248,2.9768501170595445,2.3236267914899513
Inflation,PCEPI,4,pre_release,Inflation AR(1),35,10.893877437316162,3.3005874382170459,2.6657839143036757
Inflation,PCEPI,4,pre_release,Inflation 12-Month Mean,35,10.894107546340523,3.3006222968313903,2.7194731642231496
Inflation,PCEPILFE,1,month_open,Inflation Bridge Ridge,34,5.1055557228670549,2.2595476810342054,1.8304005384490081
Inflation,PCEPILFE,1,month_open,Inflation Ridge-AR Ensemble,34,5.2838565008507565,2.2986640687257363,1.8423361701514009
Inflation,PCEPILFE,1,month_open,Inflation 12-Month Mean,34,6.2968817868301405,2.5093588397895865,2.0582731649546724
Inflation,PCEPILFE,1,month_open,Inflation AR(1),34,6.7679966942996268,2.6015373713055951,2.1406431874384864
Inflation,PCEPILFE,2,mid_month,Inflation Ridge-AR Ensemble,34,5.313339843730887,2.3050682948083963,1.8659742250783269
Inflation,PCEPILFE,2,mid_month,Inflation Bridge Ridge,34,5.372945573633535,2.3179615125436261,1.9072090223433027
Inflation,PCEPILFE,2,mid_month,Inflation 12-Month Mean,34,6.2968817868301405,2.5093588397895865,2.0582731649546724
Inflation,PCEPILFE,2,mid_month,Inflation AR(1),34,6.7679966942996268,2.6015373713055951,2.1406431874384864
Inflation,PCEPILFE,3,month_end,Inflation Bridge Ridge,35,4.8715992203139455,2.2071699572787651,1.6747034023856031
Inflation,PCEPILFE,3,month_end,Inflation Ridge-AR Ensemble,35,5.0198262959098585,2.2404968859406744,1.7282168584622366
Inflation,PCEPILFE,3,month_end,Inflation 12-Month Mean,35,5.6034303645234669,2.3671565990705954,1.9004931291076386
Inflation,PCEPILFE,3,month_end,Inflation AR(1),35,6.1524289436798698,2.4804090274952375,1.9700579622668573
Inflation,PCEPILFE,4,pre_release,Inflation Bridge Ridge,35,4.8238085905872543,2.1963170514721355,1.6591471061398477
Inflation,PCEPILFE,4,pre_release,Inflation Ridge-AR Ensemble,35,4.9165576306331955,2.217331195521588,1.7012707578150439
Inflation,PCEPILFE,4,pre_release,Inflation 12-Month Mean,35,5.5640537495297719,2.3588246542568125,1.8866633095386727
Inflation,PCEPILFE,4,pre_release,Inflation AR(1),35,6.0557311454406442,2.4608395204565139,1.928990567908129
Labour,CES0500000003,1,month_open,Labour Bridge Ridge,67,28.30118959738984,5.319886239139878,2.666318703080123
Labour,CES0500000003,1,month_open,Labour Equal-Weight Ensemble,67,42.278863932063786,6.5022199233849189,2.7653509742229372
Labour,CES0500000003,1,month_open,Labour 12-Month Mean,67,52.4841954054288,7.2445976703629853,2.8821946827636933
